STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,YEAR,MONTH,TPCP,TPCP_CLASS,TSNW,TSNW_CLASS,MNTM,MNTM_CLASS
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2011,1,74,Medium,0,Low,540,Medium
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2011,2,474,High,5,High,505,Low
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2011,3,252,High,0,Low,555,Medium
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2011,4,78,Medium,0,Low,596,Medium
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2011,5,72,Medium,0,Low,596,Medium
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2011,6,28,Low,0,Low,657,Medium
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2011,7,11,Low,0,Low,724,High
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2011,8,0,None,0,Low,743,High
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2011,9,20,Low,0,Low,718,High
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2011,10,55,Medium,0,Low,674,High
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2011,11,500,High,0,Low,567,Medium
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2011,12,137,High,0,Low,501,Low
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2012,1,81,Medium,0,Low,562,Medium
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2012,2,197,High,0,Low,524,Low
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2012,3,351,High,0,Low,543,Medium
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2012,4,277,High,0,Low,593,Medium
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2012,5,0,None,0,Low,629,Medium
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2012,6,0,None,0,Low,667,High
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2012,7,6,Low,0,Low,726,High
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2012,8,18,Low,0,Low,785,High
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2012,9,18,Low,0,Low,771,High
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2012,10,32,Low,0,Low,670,High
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2012,11,172,High,0,Low,595,Medium
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2012,12,123,High,0,Low,508,Low
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2013,1,123,High,0,Low,508,Low
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2013,2,139,High,0,Low,514,Low
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2013,3,159,High,0,Low,585,Medium
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2013,4,12,Low,0,Low,601,Medium
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2013,5,69,Medium,0,Low,654,Medium
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2013,6,0,None,0,Low,698,High
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2013,7,8,Low,0,Low,742,High
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2013,8,0,None,0,Low,750,High
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2013,9,0,None,0,Low,741,High
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2013,10,94,Medium,0,Low,633,Medium
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2013,11,152,High,0,Low,590,Medium
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2013,12,77,Medium,0,Low,533,Medium
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7775,2014,1,42,Medium,0,Low,594,Medium
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7774,2014,2,115,Medium,0,Low,568,Medium
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7774,2014,3,218,High,0,Low,590,Medium
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7774,2014,4,104,Medium,0,Low,618,Medium
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7774,2014,5,0,None,0,Low,676,High
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7774,2014,6,0,None,0,Low,690,High
COOP:040136,ALPINE CA US,516.60,32.8358,-116.7774,2014,7,6,Low,0,Low,754,High
