@relation 'Weather-Dated-weka.filters.unsupervised.attribute.Remove-R1-2,6,8,10,12-weka.filters.unsupervised.attribute.Remove-R5-6'

@attribute ELEVATION numeric
@attribute LATITUDE numeric
@attribute LONGITUDE numeric
@attribute MONTH numeric
@attribute MNTM_CLASS {Medium,Low,High,None}

@data
516.6,32.8358,-116.7775,1,Medium
516.6,32.8358,-116.7775,2,Low
516.6,32.8358,-116.7775,3,Medium
516.6,32.8358,-116.7775,4,Medium
516.6,32.8358,-116.7775,5,Medium
516.6,32.8358,-116.7775,6,Medium
516.6,32.8358,-116.7775,7,High
516.6,32.8358,-116.7775,8,High
516.6,32.8358,-116.7775,9,High
516.6,32.8358,-116.7775,10,High
516.6,32.8358,-116.7775,11,Medium
516.6,32.8358,-116.7775,12,Low
516.6,32.8358,-116.7775,1,Medium
516.6,32.8358,-116.7775,2,Low
516.6,32.8358,-116.7775,3,Medium
516.6,32.8358,-116.7775,4,Medium
516.6,32.8358,-116.7775,5,Medium
516.6,32.8358,-116.7775,6,High
516.6,32.8358,-116.7775,7,High
516.6,32.8358,-116.7775,8,High
516.6,32.8358,-116.7775,9,High
516.6,32.8358,-116.7775,10,High
516.6,32.8358,-116.7775,11,Medium
516.6,32.8358,-116.7775,12,Low
516.6,32.8358,-116.7775,1,Low
516.6,32.8358,-116.7775,2,Low
516.6,32.8358,-116.7775,3,Medium
516.6,32.8358,-116.7775,4,Medium
516.6,32.8358,-116.7775,5,Medium
516.6,32.8358,-116.7775,6,High
516.6,32.8358,-116.7775,7,High
516.6,32.8358,-116.7775,8,High
516.6,32.8358,-116.7775,9,High
516.6,32.8358,-116.7775,10,Medium
516.6,32.8358,-116.7775,11,Medium
516.6,32.8358,-116.7775,12,Medium
516.6,32.8358,-116.7775,1,Medium
516.6,32.8358,-116.7774,2,Medium
516.6,32.8358,-116.7774,3,Medium
516.6,32.8358,-116.7774,4,Medium
516.6,32.8358,-116.7774,5,High
516.6,32.8358,-116.7774,6,High
516.6,32.8358,-116.7774,7,High
1645.9,41.2683,-120.2947,1,Low
