@relation 'Weather-Dated-weka.filters.unsupervised.attribute.Remove-R1-2,6,8,10,12-weka.filters.unsupervised.attribute.Remove-R6-7'

@attribute ELEVATION numeric
@attribute LATITUDE numeric
@attribute LONGITUDE numeric
@attribute MONTH numeric
@attribute TPCP_CLASS {Medium,High,Low,None}

@data
516.6,32.8358,-116.7775,1,Medium
516.6,32.8358,-116.7775,2,High
516.6,32.8358,-116.7775,3,High
516.6,32.8358,-116.7775,4,Medium
516.6,32.8358,-116.7775,5,Medium
516.6,32.8358,-116.7775,6,Low
516.6,32.8358,-116.7775,7,Low
516.6,32.8358,-116.7775,8,None
516.6,32.8358,-116.7775,9,Low
516.6,32.8358,-116.7775,10,Medium
516.6,32.8358,-116.7775,11,High
516.6,32.8358,-116.7775,12,High
516.6,32.8358,-116.7775,1,Medium
516.6,32.8358,-116.7775,2,High
516.6,32.8358,-116.7775,3,High
516.6,32.8358,-116.7775,4,High
516.6,32.8358,-116.7775,5,None
516.6,32.8358,-116.7775,6,None
516.6,32.8358,-116.7775,7,Low
516.6,32.8358,-116.7775,8,Low
516.6,32.8358,-116.7775,9,Low
516.6,32.8358,-116.7775,10,Low
516.6,32.8358,-116.7775,11,High
516.6,32.8358,-116.7775,12,High
516.6,32.8358,-116.7775,1,High
516.6,32.8358,-116.7775,2,High
516.6,32.8358,-116.7775,3,High
516.6,32.8358,-116.7775,4,Low
516.6,32.8358,-116.7775,5,Medium
516.6,32.8358,-116.7775,6,None
516.6,32.8358,-116.7775,7,Low
516.6,32.8358,-116.7775,8,None
516.6,32.8358,-116.7775,9,None
516.6,32.8358,-116.7775,10,Medium
516.6,32.8358,-116.7775,11,High
516.6,32.8358,-116.7775,12,Medium
516.6,32.8358,-116.7775,1,Medium
516.6,32.8358,-116.7774,2,Medium
516.6,32.8358,-116.7774,3,High
516.6,32.8358,-116.7774,4,Medium
516.6,32.8358,-116.7774,5,None
516.6,32.8358,-116.7774,6,None
516.6,32.8358,-116.7774,7,Low
1645.9,41.2683,-120.2947,1,Medium
1645.9,41.2683,-120.2947,2,High
1645.9,41.2683,-120.2947,3,High
1645.9,41.2683,-120.2947,4,High
1645.9,41.2683,-120.2947,5,High
1645.9,41.2683,-120.2947,6,Medium
1645.9,41.2683,-120.2947,7,None
1645.9,41.2683,-120.2947,8,Medium
1645.9,41.2683,-120.2947,9,Medium
1645.9,41.2683,-120.2947,10,Medium
1645.9,41.2683,-120.2947,11,Medium
1645.9,41.2683,-120.2947,12,Low
1645.9,41.2683,-120.2947,1,High
1645.9,41.2683,-120.2947,2,High
1645.9,41.2683,-120.2947,3,High
1645.9,41.2683,-120.2947,4,High
1645.9,41.2683,-120.2947,5,Medium
1645.9,41.2683,-120.2947,6,Medium
1645.9,41.2683,-120.2947,7,Low
1645.9,41.2683,-120.2947,8,Low
1645.9,41.2683,-120.2947,9,Medium
1645.9,41.2683,-120.2947,10,Medium
1645.9,41.2683,-120.2947,11,High
1645.9,41.2683,-120.2947,12,High
1645.9,41.2683,-120.2947,1,High
1645.9,41.2683,-120.2947,2,Medium
1645.9,41.2683,-120.2947,3,Medium
1645.9,41.2683,-120.2947,4,High
1645.9,41.2683,-120.2947,5,High
1645.9,41.2683,-120.2947,6,High
1645.9,41.2683,-120.2947,7,Low
1645.9,41.2683,-120.2947,8,High
1645.9,41.2683,-120.2947,9,High
1645.9,41.2683,-120.2947,10,Medium
1645.9,41.2683,-120.2947,11,Medium
1645.9,41.2683,-120.2947,12,Medium
1645.9,41.2683,-120.2947,1,Medium
1645.9,41.2683,-120.2947,2,High
1645.9,41.2683,-120.2947,3,High
1645.9,41.2683,-120.2947,4,High
1645.9,41.2683,-120.2947,5,Medium
1645.9,41.2683,-120.2947,6,Medium
1645.9,41.2683,-120.2947,7,Medium
9.1,37.7983,-122.2642,1,High
9.1,37.7983,-122.2642,2,High
9.1,37.7983,-122.2642,3,High
9.1,37.7983,-122.2642,4,Medium
9.1,37.7983,-122.2642,5,High
9.1,37.7983,-122.2642,6,High
9.1,37.7983,-122.2642,7,None
9.1,37.7983,-122.2642,8,None
9.1,37.7983,-122.2642,9,None
9.1,37.7983,-122.2642,10,High
9.1,37.7983,-122.2642,11,High
9.1,37.7983,-122.2642,12,Low
9.1,37.7983,-122.2642,1,High
9.1,37.7983,-122.2642,2,Medium
9.1,37.7983,-122.2642,3,High
9.1,37.7983,-122.2642,4,High
9.1,37.7983,-122.2642,5,Low
9.1,37.7983,-122.2642,6,Low
9.1,37.7983,-122.2642,7,Low
9.1,37.7983,-122.2642,8,None
9.1,37.7983,-122.2642,9,None
9.1,37.7983,-122.2642,10,High
9.1,37.7983,-122.2642,11,High
9.1,37.7983,-122.2642,12,High
9.1,37.7983,-122.2642,1,Medium
9.1,37.7983,-122.2642,2,Medium
9.1,37.7983,-122.2642,3,Medium
9.1,37.7983,-122.2642,4,High
9.1,37.7983,-122.2642,5,Low
9.1,37.7983,-122.2642,6,Low
9.1,37.7983,-122.2642,7,None
9.1,37.7983,-122.2642,8,None
9.1,37.7983,-122.2642,9,Medium
9.1,37.7983,-122.2642,10,None
9.1,37.7983,-122.2642,11,Medium
9.1,37.7983,-122.2642,12,Low
9.1,37.7983,-122.2642,1,Low
9.1,37.7983,-122.2642,2,High
9.1,37.7983,-122.2642,3,High
9.1,37.7983,-122.2642,4,Medium
9.1,37.7983,-122.2642,5,None
9.1,37.7983,-122.2642,6,None
9.1,37.7983,-122.2642,7,None
238.7,34.5825,-119.9808,1,Medium
238.7,34.5825,-119.9808,2,High
238.7,34.5825,-119.9808,3,High
238.7,34.5825,-119.9808,4,Medium
238.7,34.5825,-119.9808,5,Low
238.7,34.5825,-119.9808,6,None
238.7,34.5825,-119.9808,7,None
238.7,34.5825,-119.9808,8,None
238.7,34.5825,-119.9816,9,None
238.7,34.5825,-119.9816,10,Medium
238.7,34.5825,-119.9816,11,High
238.7,34.5825,-119.9816,12,Medium
238.7,34.5825,-119.9816,1,High
238.7,34.5825,-119.9816,2,Medium
238.7,34.5825,-119.9816,3,High
238.7,34.5825,-119.9816,4,High
238.7,34.5825,-119.9816,5,Low
238.7,34.5825,-119.9816,6,None
238.7,34.5825,-119.9816,7,None
238.7,34.5825,-119.9816,8,None
238.7,34.5825,-119.9816,9,Low
242.3,34.5822,-119.9817,10,Low
242.3,34.5822,-119.9817,11,High
242.3,34.5822,-119.9817,12,High
242.3,34.5822,-119.9817,1,High
242.3,34.5822,-119.9817,2,Medium
242.3,34.5822,-119.9817,3,Medium
242.3,34.5822,-119.9817,4,Low
242.3,34.5822,-119.9817,5,Low
242.3,34.5822,-119.9817,6,None
242.3,34.5822,-119.9817,7,Low
242.3,34.5822,-119.9817,8,None
242.3,34.5822,-119.9817,9,None
242.3,34.5822,-119.9817,10,Medium
242.3,34.5822,-119.9817,11,Medium
242.3,34.5822,-119.9817,12,Low
242.3,34.5822,-119.9817,1,Low
242.3,34.5822,-119.9817,2,High
242.3,34.5822,-119.9817,3,High
242.3,34.5822,-119.9817,4,Medium
242.3,34.5822,-119.9817,5,None
242.3,34.5822,-119.9817,6,None
242.3,34.5822,-119.9817,7,None
246.9,35.6697,-120.6283,1,High
246.9,35.6697,-120.6283,2,High
246.9,35.6697,-120.6283,3,High
246.9,35.6697,-120.6283,4,Low
246.9,35.6697,-120.6283,5,Medium
246.9,35.6697,-120.6283,6,Low
246.9,35.6697,-120.6283,7,None
246.9,35.6697,-120.6283,8,None
246.9,35.6697,-120.6283,9,Low
246.9,35.6697,-120.6283,10,Medium
246.9,35.6697,-120.6283,11,High
246.9,35.6697,-120.6283,12,Low
246.9,35.6697,-120.6283,1,High
246.9,35.6697,-120.6283,2,Low
246.9,35.6697,-120.6283,3,High
246.9,35.6697,-120.6283,4,High
246.9,35.6697,-120.6283,5,Low
246.9,35.6697,-120.6283,6,None
246.9,35.6697,-120.6283,7,Low
246.9,35.6697,-120.6283,8,None
246.9,35.6697,-120.6283,9,None
246.9,35.6697,-120.6283,10,Low
246.9,35.6697,-120.6283,11,Medium
246.9,35.6697,-120.6283,12,High
246.9,35.6697,-120.6283,1,Medium
246.9,35.6697,-120.6283,2,Low
246.9,35.6697,-120.6283,3,Medium
246.9,35.6697,-120.6283,4,Low
246.9,35.6697,-120.6283,5,Low
246.9,35.6697,-120.6283,6,None
246.9,35.6697,-120.6283,7,None
246.9,35.6697,-120.6283,8,None
246.9,35.6697,-120.6283,9,None
246.9,35.6697,-120.6283,10,Low
246.9,35.6697,-120.6283,11,Low
246.9,35.6697,-120.6283,12,Low
246.9,35.6697,-120.6283,1,Medium
246.9,35.6697,-120.6283,2,High
246.9,35.6697,-120.6283,3,High
246.9,35.6697,-120.6283,4,Medium
246.9,35.6697,-120.6283,5,Low
246.9,35.6697,-120.6283,6,None
246.9,35.6697,-120.6283,7,None
603.5,41.8391,-122.8502,1,Medium
603.5,41.8391,-122.8502,2,Medium
603.5,41.8391,-122.8502,3,Medium
603.5,41.8391,-122.8502,4,Medium
603.5,41.8391,-122.8502,5,Medium
603.5,41.8391,-122.8502,6,High
603.5,41.8391,-122.8502,7,Low
603.5,41.8391,-122.8502,8,Low
603.5,41.8391,-122.8502,9,Low
603.5,41.8391,-122.8502,10,Medium
603.5,41.8391,-122.8502,11,Medium
603.5,41.8391,-122.8502,12,Medium
603.5,41.8391,-122.8502,1,High
603.5,41.8391,-122.8502,2,High
603.5,41.8391,-122.8502,3,High
603.5,41.8391,-122.8502,4,Medium
603.5,41.8391,-122.8502,5,Low
603.5,41.8391,-122.8502,6,Medium
603.5,41.8391,-122.8502,7,Low
603.5,41.8391,-122.8502,8,Low
603.5,41.8391,-122.8502,9,None
603.5,41.8391,-122.8502,10,Medium
603.5,41.8391,-122.8502,11,Medium
603.5,41.8391,-122.8502,12,Medium
603.5,41.8391,-122.8502,1,Medium
603.5,41.8391,-122.8502,2,High
603.5,41.8391,-122.8502,3,Medium
603.5,41.8391,-122.8502,4,Medium
603.5,41.8391,-122.8502,5,Medium
603.5,41.8391,-122.8502,6,Low
603.5,41.8391,-122.8502,7,None
603.5,41.8391,-122.8502,8,Medium
603.5,41.8391,-122.8502,9,High
603.5,41.8391,-122.8502,10,None
603.5,41.8391,-122.8502,11,High
603.5,41.8391,-122.8502,12,Low
603.5,41.8391,-122.8502,1,High
603.5,41.8391,-122.8502,2,High
603.5,41.8391,-122.8502,3,High
603.5,41.8391,-122.8502,4,Medium
603.5,41.8391,-122.8502,5,Medium
603.5,41.8391,-122.8502,6,Low
603.5,41.8391,-122.8502,7,Medium
82,35.4047,-119.4731,1,Medium
82,35.4047,-119.4731,2,Low
82,35.4047,-119.4731,3,High
82,35.4047,-119.4731,4,None
82,35.4047,-119.4731,5,Medium
82,35.4047,-119.4731,6,Low
82,35.4047,-119.4731,7,Low
82,35.4047,-119.4731,8,None
82,35.4047,-119.4731,9,None
82,35.4047,-119.4731,10,Low
82,35.4047,-119.4731,11,Medium
82,35.4047,-119.4731,12,None
82,35.4047,-119.4731,1,Low
82,35.4047,-119.4731,2,Medium
82,35.4047,-119.4731,3,Medium
82,35.4047,-119.4731,4,High
82,35.4047,-119.4731,5,None
82,35.4047,-119.4731,6,None
82,35.4047,-119.4731,7,Low
82,35.4047,-119.4731,8,None
82,35.4047,-119.4731,9,None
82,35.4047,-119.4731,10,None
82,35.4047,-119.4731,11,Low
82,35.4047,-119.4731,12,Medium
82,35.4047,-119.4731,1,Low
82,35.4047,-119.4731,2,Low
82,35.4047,-119.4731,3,Medium
82,35.4047,-119.4731,4,Medium
82,35.4047,-119.4731,5,None
