@relation 'Weather-Dated-weka.filters.unsupervised.attribute.Remove-R1-2,6,8,10,12'

@attribute ELEVATION numeric
@attribute LATITUDE numeric
@attribute LONGITUDE numeric
@attribute MONTH numeric
@attribute TPCP_CLASS {Medium,High,Low,None}
@attribute TSNW_CLASS {Low,High}
@attribute MNTM_CLASS {Medium,Low,High,None}

@data
516.6,32.8358,-116.7775,1,Medium,Low,Medium
516.6,32.8358,-116.7775,2,High,High,Low
516.6,32.8358,-116.7775,3,High,Low,Medium
516.6,32.8358,-116.7775,4,Medium,Low,Medium
516.6,32.8358,-116.7775,5,Medium,Low,Medium
516.6,32.8358,-116.7775,6,Low,Low,Medium
516.6,32.8358,-116.7775,7,Low,Low,High
516.6,32.8358,-116.7775,8,None,Low,High
516.6,32.8358,-116.7775,9,Low,Low,High
516.6,32.8358,-116.7775,10,Medium,Low,High
516.6,32.8358,-116.7775,11,High,Low,Medium
516.6,32.8358,-116.7775,12,High,Low,Low
516.6,32.8358,-116.7775,1,Medium,Low,Medium
516.6,32.8358,-116.7775,2,High,Low,Low
516.6,32.8358,-116.7775,3,High,Low,Medium
516.6,32.8358,-116.7775,4,High,Low,Medium
516.6,32.8358,-116.7775,5,None,Low,Medium
516.6,32.8358,-116.7775,6,None,Low,High
516.6,32.8358,-116.7775,7,Low,Low,High
516.6,32.8358,-116.7775,8,Low,Low,High
516.6,32.8358,-116.7775,9,Low,Low,High
516.6,32.8358,-116.7775,10,Low,Low,High
516.6,32.8358,-116.7775,11,High,Low,Medium
516.6,32.8358,-116.7775,12,High,Low,Low
516.6,32.8358,-116.7775,1,High,Low,Low
516.6,32.8358,-116.7775,2,High,Low,Low
516.6,32.8358,-116.7775,3,High,Low,Medium
516.6,32.8358,-116.7775,4,Low,Low,Medium
516.6,32.8358,-116.7775,5,Medium,Low,Medium
516.6,32.8358,-116.7775,6,None,Low,High
516.6,32.8358,-116.7775,7,Low,Low,High
516.6,32.8358,-116.7775,8,None,Low,High
516.6,32.8358,-116.7775,9,None,Low,High
516.6,32.8358,-116.7775,10,Medium,Low,Medium
516.6,32.8358,-116.7775,11,High,Low,Medium
516.6,32.8358,-116.7775,12,Medium,Low,Medium
516.6,32.8358,-116.7775,1,Medium,Low,Medium
516.6,32.8358,-116.7774,2,Medium,Low,Medium
516.6,32.8358,-116.7774,3,High,Low,Medium
516.6,32.8358,-116.7774,4,Medium,Low,Medium
516.6,32.8358,-116.7774,5,None,Low,High
516.6,32.8358,-116.7774,6,None,Low,High
516.6,32.8358,-116.7774,7,Low,Low,High
1645.9,41.2683,-120.2947,1,Medium,High,Low
1645.9,41.2683,-120.2947,2,High,High,Low
1645.9,41.2683,-120.2947,3,High,High,Low
1645.9,41.2683,-120.2947,4,High,High,Low
1645.9,41.2683,-120.2947,5,High,High,Low
1645.9,41.2683,-120.2947,6,Medium,High,Low
1645.9,41.2683,-120.2947,7,None,Low,Medium
1645.9,41.2683,-120.2947,8,Medium,Low,Medium
1645.9,41.2683,-120.2947,9,Medium,Low,Medium
1645.9,41.2683,-120.2947,10,Medium,High,Low
1645.9,41.2683,-120.2947,11,Medium,High,Low
1645.9,41.2683,-120.2947,12,Low,High,Low
1645.9,41.2683,-120.2947,1,High,High,Low
1645.9,41.2683,-120.2947,2,High,High,Low
1645.9,41.2683,-120.2947,3,High,High,Low
1645.9,41.2683,-120.2947,4,High,High,Low
1645.9,41.2683,-120.2947,5,Medium,High,Low
1645.9,41.2683,-120.2947,6,Medium,High,Medium
1645.9,41.2683,-120.2947,7,Low,Low,Medium
1645.9,41.2683,-120.2947,8,Low,Low,Low
1645.9,41.2683,-120.2947,9,Medium,Low,Medium
1645.9,41.2683,-120.2947,10,Medium,High,Low
1645.9,41.2683,-120.2947,11,High,High,Low
1645.9,41.2683,-120.2947,12,High,High,None
1645.9,41.2683,-120.2947,1,High,High,None
1645.9,41.2683,-120.2947,2,Medium,High,Low
1645.9,41.2683,-120.2947,3,Medium,High,Low
1645.9,41.2683,-120.2947,4,High,High,Low
1645.9,41.2683,-120.2947,5,High,High,Low
1645.9,41.2683,-120.2947,6,High,High,Medium
1645.9,41.2683,-120.2947,7,Low,Low,High
1645.9,41.2683,-120.2947,8,High,Low,Medium
1645.9,41.2683,-120.2947,9,High,Low,Medium
1645.9,41.2683,-120.2947,10,Medium,High,Low
1645.9,41.2683,-120.2947,11,Medium,Low,Low
1645.9,41.2683,-120.2947,12,Medium,High,Low
1645.9,41.2683,-120.2947,1,Medium,Low,Low
1645.9,41.2683,-120.2947,2,High,High,Low
1645.9,41.2683,-120.2947,3,High,High,Low
1645.9,41.2683,-120.2947,4,High,High,Low
1645.9,41.2683,-120.2947,5,Medium,Low,Low
1645.9,41.2683,-120.2947,6,Medium,Low,Medium
1645.9,41.2683,-120.2947,7,Medium,Low,High
9.1,37.7983,-122.2642,1,High,Low,Low
9.1,37.7983,-122.2642,2,High,Low,Low
9.1,37.7983,-122.2642,3,High,Low,Medium
9.1,37.7983,-122.2642,4,Medium,Low,Medium
9.1,37.7983,-122.2642,5,High,Low,Medium
9.1,37.7983,-122.2642,6,High,Low,Medium
9.1,37.7983,-122.2642,7,None,Low,Medium
9.1,37.7983,-122.2642,8,None,Low,Medium
9.1,37.7983,-122.2642,9,None,Low,High
9.1,37.7983,-122.2642,10,High,Low,Medium
9.1,37.7983,-122.2642,11,High,Low,Medium
9.1,37.7983,-122.2642,12,Low,Low,Low
9.1,37.7983,-122.2642,1,High,Low,Medium
9.1,37.7983,-122.2642,2,Medium,Low,Medium
9.1,37.7983,-122.2642,3,High,Low,Medium
9.1,37.7983,-122.2642,4,High,Low,Medium
9.1,37.7983,-122.2642,5,Low,Low,Medium
9.1,37.7983,-122.2642,6,Low,Low,Medium
9.1,37.7983,-122.2642,7,Low,Low,Medium
9.1,37.7983,-122.2642,8,None,Low,Medium
9.1,37.7983,-122.2642,9,None,Low,Medium
9.1,37.7983,-122.2642,10,High,Low,Medium
9.1,37.7983,-122.2642,11,High,Low,Medium
9.1,37.7983,-122.2642,12,High,Low,Low
9.1,37.7983,-122.2642,1,Medium,Low,Low
9.1,37.7983,-122.2642,2,Medium,Low,Medium
9.1,37.7983,-122.2642,3,Medium,Low,Medium
9.1,37.7983,-122.2642,4,High,Low,Medium
9.1,37.7983,-122.2642,5,Low,Low,Medium
9.1,37.7983,-122.2642,6,Low,Low,Medium
9.1,37.7983,-122.2642,7,None,Low,Medium
9.1,37.7983,-122.2642,8,None,Low,Medium
9.1,37.7983,-122.2642,9,Medium,Low,High
9.1,37.7983,-122.2642,10,None,Low,Medium
9.1,37.7983,-122.2642,11,Medium,Low,Medium
9.1,37.7983,-122.2642,12,Low,Low,Low
9.1,37.7983,-122.2642,1,Low,Low,Medium
9.1,37.7983,-122.2642,2,High,Low,Medium
9.1,37.7983,-122.2642,3,High,Low,Medium
9.1,37.7983,-122.2642,4,Medium,Low,Medium
9.1,37.7983,-122.2642,5,None,Low,Medium
9.1,37.7983,-122.2642,6,None,Low,Medium
9.1,37.7983,-122.2642,7,None,Low,High
238.7,34.5825,-119.9808,1,Medium,Low,Medium
238.7,34.5825,-119.9808,2,High,Low,Low
238.7,34.5825,-119.9808,3,High,Low,Medium
238.7,34.5825,-119.9808,4,Medium,Low,Medium
238.7,34.5825,-119.9808,5,Low,Low,Medium
238.7,34.5825,-119.9808,6,None,Low,Medium
238.7,34.5825,-119.9808,7,None,Low,High
238.7,34.5825,-119.9808,8,None,Low,High
238.7,34.5825,-119.9816,9,None,Low,High
238.7,34.5825,-119.9816,10,Medium,Low,High
238.7,34.5825,-119.9816,11,High,Low,Medium
238.7,34.5825,-119.9816,12,Medium,Low,Low
238.7,34.5825,-119.9816,1,High,Low,Medium
238.7,34.5825,-119.9816,2,Medium,Low,Medium
238.7,34.5825,-119.9816,3,High,Low,Medium
238.7,34.5825,-119.9816,4,High,Low,Medium
238.7,34.5825,-119.9816,5,Low,Low,Medium
238.7,34.5825,-119.9816,6,None,Low,High
238.7,34.5825,-119.9816,7,None,Low,High
238.7,34.5825,-119.9816,8,None,Low,High
238.7,34.5825,-119.9816,9,Low,Low,High
242.3,34.5822,-119.9817,10,Low,Low,High
242.3,34.5822,-119.9817,11,High,Low,Low
242.3,34.5822,-119.9817,12,High,Low,Low
242.3,34.5822,-119.9817,1,High,Low,Low
242.3,34.5822,-119.9817,2,Medium,Low,Low
242.3,34.5822,-119.9817,3,Medium,Low,Medium
242.3,34.5822,-119.9817,4,Low,Low,Medium
242.3,34.5822,-119.9817,5,Low,Low,Medium
242.3,34.5822,-119.9817,6,None,Low,High
242.3,34.5822,-119.9817,7,Low,Low,High
242.3,34.5822,-119.9817,8,None,Low,High
242.3,34.5822,-119.9817,9,None,Low,High
242.3,34.5822,-119.9817,10,Medium,Low,Medium
242.3,34.5822,-119.9817,11,Medium,Low,Medium
242.3,34.5822,-119.9817,12,Low,Low,Low
242.3,34.5822,-119.9817,1,Low,Low,Medium
242.3,34.5822,-119.9817,2,High,Low,Medium
242.3,34.5822,-119.9817,3,High,Low,Medium
242.3,34.5822,-119.9817,4,Medium,Low,Medium
242.3,34.5822,-119.9817,5,None,Low,High
242.3,34.5822,-119.9817,6,None,Low,High
242.3,34.5822,-119.9817,7,None,Low,High
246.9,35.6697,-120.6283,1,High,Low,Low
246.9,35.6697,-120.6283,2,High,Low,Low
246.9,35.6697,-120.6283,3,High,Low,Medium
246.9,35.6697,-120.6283,4,Low,Low,Medium
246.9,35.6697,-120.6283,5,Medium,Low,Medium
246.9,35.6697,-120.6283,6,Low,Low,High
246.9,35.6697,-120.6283,7,None,Low,High
246.9,35.6697,-120.6283,8,None,Low,High
246.9,35.6697,-120.6283,9,Low,Low,High
246.9,35.6697,-120.6283,10,Medium,Low,Medium
246.9,35.6697,-120.6283,11,High,Low,Low
246.9,35.6697,-120.6283,12,Low,Low,Low
246.9,35.6697,-120.6283,1,High,Low,Low
246.9,35.6697,-120.6283,2,Low,Low,Low
246.9,35.6697,-120.6283,3,High,Low,Low
246.9,35.6697,-120.6283,4,High,Low,Medium
246.9,35.6697,-120.6283,5,Low,Low,Medium
246.9,35.6697,-120.6283,6,None,Low,High
246.9,35.6697,-120.6283,7,Low,Low,High
246.9,35.6697,-120.6283,8,None,Low,High
246.9,35.6697,-120.6283,9,None,Low,High
246.9,35.6697,-120.6283,10,Low,Low,Medium
246.9,35.6697,-120.6283,11,Medium,Low,Medium
246.9,35.6697,-120.6283,12,High,Low,Low
246.9,35.6697,-120.6283,1,Medium,Low,Low
246.9,35.6697,-120.6283,2,Low,Low,Low
246.9,35.6697,-120.6283,3,Medium,Low,Medium
246.9,35.6697,-120.6283,4,Low,Low,Medium
